month,outlet_id,name,trading_area,company,class_of_market,lat,lng,ms,hsd,ms_ly,hsd_ly,,,,
2026-06,41075039,TIRURANGADI FUELS,CHEMMAD,HPCL,C,11.0342203,75.9081167,92,62,99,60,,,,
2026-06,41030464,TKB PETROLEUM,PARAMBIL PEEDIKA,HPCL,E,11.1033011,75.9244014,59,55,80,68,,,,
2026-06,41091293,V V PETROLEUM,Eramangalam,HPCL,D2,,,4,0,0,0,,,,
2026-06,41011423,VALLIYAMMU PETROLEUM,THAVANUR,HPCL,D1,10.8355228,75.9896452,136,146,126,140,,,,
2026-06,41028327,VENGARA FUELS,VENGARA-POOCHOLAMAD ROAD,HPCL,E,11.0550999,75.9780664,56,48,52,44,,,,
2026-06,41070555,VISTA FUELS,VETTICHIRA,HPCL,D1,10.9135126,76.0454023,0,0,0,0,,,,
2026-06,41072571,VORTEX FUELS,TIRUR (ON EZHUR ROAD),HPCL,C,10.9079172,75.9370621,79,57,68,40,,,,
2026-06,41070271,VOYAGE FUELS,KUTTIPURAM (ON NH),HPCL,D1,10.8668424,76.0406967,30,50,50,50,,,,
2026-06,41028728,WEST COAST PETROLEUM AG,PARAPPANANGADI,HPCL,C,11.0486724,75.8588415,21,49,20,43,,,,
2026-06,41094433,VEGA FUELS,Valanchery,HPCL,E,,,0,0,0,0,,,,
2026-06,41091551,NARANIPUZHA FUELS,Changaramkulam,HPCL,E,,,0,0,0,0,,,,
2026-06,41093878,C & K PETROLEUM ,Kuttippuram,HPCL,C,,,0,0,0,0,,,,
2026-06,330792,A K PETROLEUM,THEYYALA,IOC,E,10.991809,75.914709,60,60,44,40,,,,
2026-06,187712,ABISHEK AUTO FUELS,Edappal (on SH),IOC,D2,10.796931,76.006488,93,85,87,91,,,,
2026-06,188253,ALKOS PETROLEUM AGENCY,B.P ANGADI,IOC,E,10.889744,75.929782,139,108,121,115,,,,
2026-06,337736,AMMENGARAS PETROLEUM,TIRUR (ON EZHUR ROAD),IOC,C,10.91527,75.92592,56,44,52,44,,,,
2026-06,374991,AMNA PETROLEUM,KALPAKANCHERI,IOC,E,10.9366296,75.9938703,70,68,0,0,,,,
2026-06,374994,ANANGADI FUELS,VALLIKUNNU,IOC,E,11.1095379,75.8362054,137,55,0,0,,,,
2026-06,194519,ANRANJU FUELS,Kuttippuram,IOC,E,10.844916,76.031944,64,92,58,88,,,,
2026-06,369496,ATR PETROLEUM ,VETTICHIRA,IOC,D1,10.9286167,76.02627153,84,95,68,68,,,,
2026-06,352145,B & B PETROLEUM,KALOTH,IOC,D2,11.1474457,75.9770871,88,84,85,85,,,,
2026-06,299051,BENZY FUEL,PONNANI (ON NH66),IOC,D1,10.776616,75.940181,92,100,75,58,,,,
2026-06,125128,BENZY PETROLEUM,Ponnani,IOC,C,10.78205,75.935614,85,75,88,65,,,,
2026-06,208096,BROTHERS PETROLEUM,KONDOTTY (ON EDAVANNAPARA ROAD),IOC,C,11.154782,75.958198,53,111,57,139,,,,
2026-06,289393,CHAKKEERI PETROLEUM,CHERUR,IOC,E,11.064706,75.987303,60,125,60,75,,,,
2026-06,386782,CHAPPANANGADI FUELS,VALIYAPARAMBU,IOC,E,11.027871,76.0346003,0,0,0,0,,,,
2026-06,187704,CKM ASSOCIATES ,Changaramkulam,IOC,D2,10.733841,76.031172,136,98,156,100,,,,
2026-06,188647,COCOKONDOTTY,KONDOTTY,IOC,D1,11.14287,75.96855,0,0,83,105,,,,
2026-06,289385,CP PETROLEUM,VAKKAD,IOC,E,10.875418,75.897813,120,94,99,83,,,,
2026-06,208616,EMARAT PETROLEUM,Edappal (on MDR),IOC,E,10.784467,76.014109,44,52,96,72,,,,
2026-06,335802,ENERGY FUEL PARK,Changaramkulam,IOC,D2,10.73285,76.039442,123,101,120,100,,,,
2026-06,125203,EVEREST FUELS,Eramangalam,IOC,D2,10.723029,75.976825,84,40,71.5,36.5,,,,
2026-06,271724,FATHIMA PETROLEUM,KURUMBATHUR,IOC,E,10.92512,75.997416,118,178,103,151,,,,
2026-06,384546,FORTY FOUR PETROLEUM,VALLIKUNNU,IOC,E,11.1243643,75.8602554,58,34,0,0,,,,
2026-06,367842,FUELMAX PETROLEUM,VAILATHUR-KARINKAPPARA ROAD,IOC,E,10.958012,75.946393,58,54,55,51,,,,
2026-06,188272,FULL FILL FUELS,TANUR,IOC,C,10.980408,75.876741,125,214,98,190,,,,
2026-06,365027,GOLDEN FUELS,VAZHAYUR,IOC,E,11.2120279,75.9037622,24,36,20,16,,,,
2026-06,185764,GRACE PETROLEUM,PARAPPANANGADI,IOC,C,11.052979,75.856068,139,144,96,108,,,,
2026-06,380970,GRAND FUELS,Kottakkal-Indianoor,IOC,C,10.9898428,76.0214803,0,0,0,12,,,,
2026-06,125144,HIGHWAY PETROLEUM AGENCY,PONNANI (ON NH66),IOC,D1,10.760971,75.927561,108,78,94,58,,,,
2026-06,131235,INTERNATIONAL PETROLEUM,TIRUR,IOC,C,10.926949,75.911624,58,65,11,15,,,,
2026-06,378694,JAI PETROLEUM,PONNANI (ON NH66),IOC,D1,10.70888,75.95597,0,0,0,0,,,,
2026-06,124991,K.S CIVIL SUPPLIES CO (TANUR),TANUR,IOC,C,10.9842,75.87501,58,58,52,32,,,,
2026-06,352152,KANNAMANGALAM FUELS,KUNNUMPURAM,IOC,D2,11.09305549,75.95439927,100,100,100,116,,,,
