month,outlet_id,name,trading_area,company,lat,lng,ms,hsd,ms_ly,hsd_ly
2025-08,41075133,OASIS PETROLEUM,CHETTIPADI TO CHELARI,HPCL,11.0798806,75.8583326,0,0,0,0
2025-08,41006143, THEJUS PETROLEUM CHEMMA,CHEMMAD(ON SH65),HPCL,11.043076,75.9050597,113,83,120,72
2025-08,41075039,TIRURANGADI FUELS ,CHEMMAD,HPCL,11.0342203,75.9081167,86,50,0,4
2025-08,41064103,ENERGY PETRO PARK,CHELARI,HPCL,11.1031333,75.892462,88,82,0,0
2025-08,41012528, L & G PETRO POINT,Changaramkulam,HPCL,10.7327111,76.0440303,93,89,76,68
2025-08,41075131,L & K FUELS,B.P ANGADI,HPCL,10.8507933,75.9410271,50,52,0,0
2025-08,41006921, KPK PETROLEUM,AILATHUR,HPCL,10.85486584,75.93893765,83,71,92,88
2025-08,41072529,CK PETROLEUM,AILATHUR,HPCL,10.8311191,75.9488763,80,102,0,0
2025-08,41075058,MAMPURAM FUELS, VK PADI MAMBURAM ROAD ,HPCL,,,0,0,0,0
2025-08,41077874,KN FUELS,KOHINOOR,HPCL,11.1258707,75.8975123,0,4,0,0
2025-08,369496,ATR PETROLEUM,VETTICHIRA,IOC,10.9286167,76.02627153,98,102,60,60
2025-08,193180,VARADA FUELS,VETTICHIRA,IOC,10.925452,76.030547,48,144,44,112
2025-08,365027,GOLDEN FUELS,VAZHAYUR,IOC,11.2120279,75.9037622,17,21,0,0
2025-08,374994,ANANGADI FUELS,VALLIKUNNU,IOC,,,0,0,0,0
2025-08,198669,PAYINGAL PETROLEUM,VALANCHERY-PERINTHALMANNA ROAD TIR RSA,IOC,10.893371,76.074432,48,108,48,96
2025-08,288174,KTJ PETROLEUM,VALANCHERY-KOPPAM ROAD,IOC,10.8811232,76.0864122,152,136,124,104
2025-08,125132,SIGMA ENTERPRISES,Valanchery,IOC,10.897987,76.061268,96,108,108,120
2025-08,289385,CP PETROLEUM,VAKKAD,IOC,10.875418,75.897813,102,98,135.5,112.5
2025-08,366596,M/s ARAFA PETROMART,VAKKAD,IOC,10.8922839,75.9133662,0,0,0,0
2025-08,367842,FUELMAX PETROLEUM,VAILATHUR-KARINKAPPARA ROAD,IOC,10.958012,75.946393,62,58,0,0
2025-08,132413,P.K.FUELS,VAILATHUR,IOC,10.95326,75.949828,48,48,90,90
2025-08,187714,SALEEMA PETROLEUM,TIRUR(ON SH71),IOC,10.93195,75.933382,64,104,72,108
2025-08,289389,KHALOORIKA PETROLEUM,TIRUR (ON EZHUR ROAD),IOC,10.904376,75.939109,24,24,79,58
2025-08,337736,AMMENGARAS PETROLEUM,TIRUR (ON EZHUR ROAD),IOC,10.91527,75.92592,54,54,69,57
2025-08,131235,INTERNATIONAL PETROLEUM,TIRUR,IOC,10.926949,75.911624,18,26,79,73
2025-08,373070,TIRUR PETROLEUM,TIRUR,IOC,10.92329381,75.91317855,106,78,0,0
2025-08,187723,EMINENCE PETROLEUM,THIRUNAVAYA,IOC,10.863214,75.974678,78,94,83,105
2025-08,330792,A K PETROLEUM,THEYYALA,IOC,10.991809,75.914709,32,40,56,56
2025-08,188272,FULL FILL FUELS,TANUR,IOC,10.980408,75.876741,111,325,94,208
2025-08,124991,K.S CIVIL SUPPLIES CO (TANUR),TANUR,IOC,10.9842,75.87501,50,30,52,32
2025-08,355549,THAJ FUELS,RANDATHANI,IOC,10.958543,76.007593,68,108,37,59
2025-08,348927,PUTHANATHANI PETROLEUM,PUTHANATHANI,IOC,10.940877,75.999996,32,52,76,96
2025-08,337735,VEE PEE PETROLEUM,POOKATTIRI,IOC,10.9026,76.090888,85,115,90,130
2025-08,125144,HIGHWAY PETROLEUM AGENCY,PONNANI (ON NH66),IOC,10.760971,75.927561,100.5,65.5,107,107
2025-08,299051,BENZY FUEL,PONNANI (ON NH66),IOC,10.776616,75.940181,83,80,80,56
2025-08,378694,JAI PETROLEUM,PONNANI (ON NH66),IOC,,,0,0,0,0
2025-08,125128,BENZY PETROLEUM,Ponnani,IOC,10.78205,75.935614,97,70,90,60
2025-08,272261,POOLAKUNDAN PETROLEUM,PARAPPUR-TIR RSA,IOC,11.027646,75.995407,56,52,54,50
2025-08,185764,GRACE PETROLEUM,PARAPPANANGADI,IOC,11.052979,75.856068,120,120,106,114
2025-08,194760,PERUVALLUR PETROLEUM,PARAMBIL PEEDIKA,IOC,11.113143,75.947999,67,95,76,92
2025-08,269683,PALLIKKAL FUELS,PALLIKKAL BAZAR,IOC,11.150142,75.90978,21,29,24,36
2025-08,277552,MALIYAKKAL,OORAKAM,IOC,11.0648,76.0286,110,370,105,260
2025-08,331474,MANISSERY FUELS,Naduvattom Karinkalathani Road,IOC,10.759932,75.972687,122,82,109,70
2025-08,333010,M/S MUTHUVALLUR PETROLEUM,MUTHUVALLUR,IOC,11.1775,76.0016219,55,45,54,42
