month,outlet_id,name,trading_area,company,lat,lng,ms,hsd,ms_ly,hsd_ly
2025-08,188272,FULL FILL FUELS,TANUR,IOC,10.980408,75.876741,111,325,94,208
2025-08,124991,K.S CIVIL SUPPLIES CO (TANUR),TANUR,IOC,10.9842,75.87501,50,30,52,32
2025-08,355549,THAJ FUELS,RANDATHANI,IOC,10.958543,76.007593,68,108,37,59
2025-08,348927,PUTHANATHANI PETROLEUM,PUTHANATHANI,IOC,10.940877,75.999996,32,52,76,96
2025-08,337735,VEE PEE PETROLEUM,POOKATTIRI,IOC,10.9026,76.090888,85,115,90,130
2025-08,125144,HIGHWAY PETROLEUM AGENCY,PONNANI (ON NH66),IOC,10.760971,75.927561,100.5,65.5,107,107
2025-08,299051,BENZY FUEL,PONNANI (ON NH66),IOC,10.776616,75.940181,83,80,80,56
2025-08,378694,JAI PETROLEUM,PONNANI (ON NH66),IOC,,,0,0,0,0
2025-08,125128,BENZY PETROLEUM,Ponnani,IOC,10.78205,75.935614,97,70,90,60
2025-08,272261,POOLAKUNDAN PETROLEUM,PARAPPUR-TIR RSA,IOC,,,56,52,54,50
2025-08,185764,GRACE PETROLEUM,PARAPPANANGADI,IOC,,,120,120,106,114
2025-08,194760,PERUVALLUR PETROLEUM,PARAMBIL PEEDIKA,IOC,,,67,95,76,92
2025-08,269683,PALLIKKAL FUELS,PALLIKKAL BAZAR,IOC,,,21,29,24,36
2025-08,277552,MALIYAKKAL,OORAKAM,IOC,11.0648,76.0286,110,370,105,260
2025-08,331474,MANISSERY FUELS,Naduvattom Karinkalathani Road,IOC,,,122,82,109,70
2025-08,333010,M/S MUTHUVALLUR PETROLEUM,MUTHUVALLUR,IOC,,,55,45,54,42
2025-08,353705,MALAPPURATH PETROLEUM,MATHAMKULAM,IOC,,,26,30,0,0
2025-08,371069,MEKKAMANNIL PETROLEUMS,MATHAMKULAM,IOC,,,9,5,0,0
2025-08,125209,SREE PETROLEUM AGENCIES,KUTTIPURAM (ON NH),IOC,,,73,111,77,85
2025-08,194519,ANRANJU FUELS,Kuttippuram,IOC,,,68,100,61,107
2025-08,271724,FATHIMA PETROLEUM,KURUMBATHUR,IOC,,,119,197,100,164
2025-08,352152,KANNAMANGALAM FUELS,KUNNUMPURAM,IOC,,,107,131,100,116
2025-08,125236,KIMS PETROLEUM,KOTTAKKAL (ON SH),IOC,,,125,175,113,159
2025-08,187703,NEELANKATH VEERANKUTTY HAJI,KOTTAKKAL (ON NH),IOC,,,155,181,136,184
2025-08,208096,BROTHERS PETROLEUM,KONDOTTY (ON EDAVANNAPARA ROAD),IOC,,,50,170,67,177
2025-08,188647,COCOKONDOTTY,KONDOTTY,IOC,,,89,121,70,90
2025-08,378662,KODINHI FUELS,KODINHI,IOC,,,43,27,0,0
2025-08,339065,MALIYAKKAL PETROLEUM,KANNAMANGALAM,IOC,11.099242,75.974777,4,92,14,85
2025-08,328648,NALLATUTHODIKA PETROLEUM,Kanjipura Moodal Bypass,IOC,,,54,62,54,54
2025-08,366391,P HAMZA HAJI & SONS ADHOC ,KALPAKANCHERI,IOC,,,65,63,62,54
2025-08,374991,AMNA PETROLEUM,KALPAKANCHERI,IOC,,,0,0,0,0
2025-08,352145,B & B PETROLEUM,KALOTH,IOC,,,87,93,84,84
2025-08,175973,P.P.PETROLEUM,KAKKANCHERY,IOC,,,124,132,132,168
2025-08,372984,MKM PETROLEUM,KAKKANCHERY,IOC,,,8,4,0,0
2025-08,125004,KOOLATH MOHAMMED & SONS,KAKKAD,IOC,,,0,0,0,0
2025-08,125203,EVEREST FUELS,Eramangalam,IOC,,,86.5,47.5,84,48
2025-08,187712,ABISHEK AUTO FUELS,Edappal (on SH),IOC,,,114,110,103,91
2025-08,193920,NICE PETROLUEM,Edappal (on MDR),IOC,,,117,77,103,69
2025-08,208616,EMARAT PETROLEUM,Edappal (on MDR),IOC,,,104,88,98,114
2025-08,216348,NIMS PETROLEUM,CHIRAMANGALAM,IOC,,,68,118,73,103
2025-08,352137,V K PETROLEUM,CHETTIPADI TO CHELARI,IOC,,,83,75,80,76
